академик	академика
врач	врача
временный	временного
генеральный	генерального
глава	главы
главный	главного
директор	директора
доктор	доктора
заведующий	заведующего
заведующая	заведующей
заместитель	заместителя
индивидуальный	индивидуального
инженер	инженера
исполнительный	исполнительного
исполняющий	исполняющего
исполняющая	исполняющей
коммерческий	коммерческого
конструктор	конструктора
консультант	консультанта
менеджер	менеджера
научный	научного
начальник	начальника
ответственный	ответственного
первый	первого
председатель	председателя
предприниматель	предпринимателя
президент	президента
проректор	проректора
профессор	профессора
ректор	ректора
руководитель	руководителя
секретарь	секретаря
сотрудник	сотрудника
учредитель	учредителя
управляющий	управляющего
